"albufcode","lat","lng","nome","rio"
"169","38.787384412","-7.799510741","Fargela","RIBEIRA DA FARGELA"
"170","41.211539425","-7.110299066","Feiticeiro",""
"171","39.512224924","-7.746809317","Figueiró","RIBEIRA DE FIGUEIRO"
"172","41.229321385","-7.280573799","Fonte Longa","RIBEIRA DE CATALINO"
"60","37.881481654","-8.49731879","Fonte Serne","BARRANCO DE BENATELAR"
"173","37.387571498","-7.526713459","Foupana (prevista)","RIBEIRA DA FOUPANA"
"94","41.0688377","-7.106718351","Foz Côa (não construída)","RIO CÔA"
"174","41.234023151","-7.422904558","Foz do Tua (prevista)","RIO TUA"
"175","38.795674151","-7.665081626","Fr. Joaquim","RIBEIRA DE TERA"
"52","39.543434238","-7.802673439","Fratel","RIO TEJO"
"26","41.070474655","-8.018500181","Freigil","RIO CABRUM"
"176","41.511882412","-7.981350066","Freita/Cefra","RIO DE OURO"
"228","38.76194308","-8.304224684","Freixeirinha","RIBEIRA DA FREIXEIRINHA"
"177","41.321849178","-8.022900397","Fridão (prevista)","RIO TÂMEGA"
"79","40.24626789","-8.163770405","Fronhas","RIO ALVA OU RIBEIRA DA FERVENÇA"
"85","37.262716612","-8.382584991","Funcho","RIO ARADE"
"31","38.968801342","-8.20873318","Furadouro","RIBEIRA DA RAIA OU DE SEDA"
"215","39.389387446","-7.649879056","Gafete","RIBEIRA DO VALE DO CASTELO"
"36","38.954510744","-8.109748029","Gameiro","RIBEIRA DA RAIA OU DE SEDA"
"178","37.712046982","-8.477343255","Gema","RIBEIRA DA GEMA"
"179","41.430455491","-8.339503043","Giestal","RIO SELHO"
"219","41.786176016","-6.819220799","Gostei",""
"192","41.491841574","-7.725768316","Gouvães (prevista)","RIO LOUREDO"
"180","41.955874676","-6.776917729","Gralhas","RIBEIRA DAS ANDORINHAS"
"182","37.879541715","-7.948143791","Grous","BARRANCO DAS VENDAS"
"181","38.153618539","-8.50063231","Grândola","RIBEIRA DE GRÂNDOLA"
"5","41.585559428","-8.137664886","Guilhofrei","RIO AVE"
"183","37.90783662","-7.4519736","H. Facho I","BARRANCO DE JOAO BILHEIRO"
"184","37.901262584","-7.440073177","H. Facho II",""
"185","37.789733832","-7.879217249","Herdade Lagos I","BARRANCO DO VALE LARANJO"
"186","37.794580038","-7.858684842","Herdade Lagos II","BARRANCO DO VALE LARANJO"
"233","38.354882098","-8.214972873","Herdade Vale da Lameira (Part.)","RIBEIRA DA URSA"
"11","39.94508524","-7.201403355","Idanha","RIO PÔNSUL"
"227","40.085373941","-7.787597412","Janeiro de Cima","RIO ZÊZERE"
"32","40.363965223","-7.649249984","Lagoa Comprida","RIBEIRA DA CANICA OU DA LAGOA OU DA PRAGUEIRA"
"90","40.386129014","-7.620285521","Lagoacho","RIBEIRA DO COVAO DO URSO OU DA NAVE DESCIDA OU DAS NAVES"
"187","41.203305944","-7.352622223","Linhares","RIBEIRA DE LINHARES"
"72","38.635780658","-7.406016611","Lucefecit","RIBEIRA LUCEFÉCIT"
"126","37.461997854","-7.744012417","Lutão","BARRANCO GRANDE"
"6","38.994884332","-8.690546049","Magos (Paúl Magos)","RIBEIRA DE MAGOS"
"29","39.014957252","-7.975874643","Maranhão","RIBEIRA DA RAIA OU DE SEDA"
"77","40.260489063","-7.143479774","Meimoa","RIBEIRA DA MEIMOA"
"127","41.839411258","-7.206193629","Mente","RIO MENTE"
"128","38.659038424","-8.097572087","Minutos","RIO ALMANSOR OU RIBEIRA DE SANTO ESTEVÃO OU DE CANHA"
"37","41.489049236","-6.263942199","Miranda","RIO DOURO"
"33","39.053165709","-8.175321985","Montargil","RIO SÔR"
"131","37.496942887","-8.060747562","Monte Clérigo","BARRANCO DOS TOUCINHOS"
"132","37.790725784","-8.237002996","Monte Gato","RIBEIRA DA FERRARIA OU BARRANCO DO MONTE DO GATO"
"133","37.78905866","-8.264338011","Monte Migueis","RIBEIRA DOS MIGUEIS"
"73","38.511203036","-7.709971344","Monte Novo","RIO DEGEBE"
"134","40.130349257","-8.08585957","Monte Redondo","RIO CEIRA"
"49","37.728405836","-8.287053521","Monte da Rocha","RIO SADO"
"129","41.87190996","-6.747110954","Montezinho","RIO SABOR"
"62","37.897728975","-8.761234719","Morgavel","RIBEIRA DE MORGAVÉL"
"130","38.398949802","-7.33596664","Mourão","RIBEIRA DAS VINHAS"
"216","39.507877562","-8.093731898","Negrelinho",""
"93","37.331099795","-7.486445891","Odeleite","RIBEIRA DE ODELEITE"
"149","37.288317","-8.474016","Odelouca","RIBEIRA DE ODELOUCA"
"50","38.184779216","-8.115309053","Odivelas","RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO"
"136","37.548233281","-7.99602684","Oeiras","RIBEIRA DE OEIRAS"
"137","41.308204202","-8.001906632","Olo","RIO OLO"
"138","40.851322347","-8.351861573","Padrastos","RIO CAIMA"
"139","41.572290427","-7.81153027","Padroselos (prevista)","RIO BEÇA"
"140","41.229332121","-7.176429655","Palameiro","RIBEIRA DAS TABUAS"
"141","42.043593431","-8.240002185","Parada Monte","RIO MOURO"
"34","41.766906241","-7.950110921","Paradela","RIO CÁVADO"
"142","38.554823544","-7.672351596","Pardiela","RIBEIRA DA PARDIELA"
"218","39.247600671","-8.589464748","Patudos","VALA DE ALPIARÇA OU DO PAÚL OU RIBEIRA DE ULME"
"53","41.295438166","-7.174163649","Peneireiro","RIBEIRA DO ARCO"
"63","40.045468454","-7.015379199","Penha Garcia","RIO PÔNSUL"
"15","41.549571699","-8.537080799","Penide","RIO CÁVADO"
"145","37.443989325","-7.591178715","Pereiro","BARRANCO DOS LADROES"
"146","37.574939618","-8.191658118","Perna Seca","RIBEIRA DA PERNA SECA"
"147","40.947851021","-7.099104288","Pero Martins","RIO CÔA"
"35","41.380152875","-6.351779044","Picote","RIO DOURO"
"43","40.02171154","-7.556591477","Pisco","RIO RAMALHOSO"
"74","41.135220512","-7.114295478","Pocinho","RIO DOURO"
"4","39.515993123","-7.582105219","Poio","RIBEIRA DE NISA"
"150","40.861245815","-7.862370679","Portela","RIO PAIVA"
"16","39.565040586","-7.812031778","Pracana","RIO OCREZA"
"12","38.418701966","-8.39201381","Pêgo do Altar","RIBEIRA DE ALCÁÇOVAS"
"3","39.476927164","-7.555368864","Póvoa","RIBEIRA DE NISA"
"152","41.503243974","-8.163468839","Queimadela","RIO VIZELA"
"151","41.208090531","-7.059776316","Quinta das Laranjeiras (não construída)","RIO SABOR"
"153","39.539122709","-7.613492816","Racheiro","RIBEIRA DE NISA"
"67","40.309694305","-8.248956306","Raiva","RIO MONDEGO"
"80","41.008209517","-7.335254509","Ranhados","RIO TORTO 1"
"234","38.298811228","-7.790656235","Rasquinha (Part.)","RIBEIRA DA BALSA"
"96","41.755863189","-7.176627384","Rebordelo","RIBEIRA DO CANTO"
"98","40.698297995","-6.930730042","Riba Côa","RIO CÔA"
"44","38.764116506","-9.422064479","Rio da Mula","RIBEIRA DAS VINHAS"
"45","37.929604974","-8.081894325","Roxo","RIBEIRA DO ROXO OU DE SANTA VITÓRIA"
"100","41.585252289","-8.480034341","Ruães","RIO CÁVADO"
"154","40.508653906","-8.154476787","Rãs","RIO DO BARREIRO OU DE CASTELOES"
"54","41.146236682","-7.739858845","Régua","RIO DOURO"
"235","38.329612975","-8.152958172","S. Brissos 1 (Part.)","RIBEIRA DO XARRAMA"
"91","39.334637334","-9.317546082","S. Domingos","RIO DE SÃO DOMINGOS"
"101","40.336111646","-7.091633279","Sabugal","RIO CÔA"
"217","38.624022941","-8.259576506","Sabugueiro","RIBEIRA DA LAGE"
"239","38.759473936","-8.118151252","Sabugueiro (Arraiolos)","RIBEIRA DA NEGRAXA"
"20","41.691451479","-8.091547753","Salamonde","RIO CÁVADO"
"56","41.335015135","-7.053670659","Salgueiro","RIBEIRA DA VILARIÇA"
"102","41.443916912","-6.6863511","Sampaio","RIO SABOR"
"46","37.513121619","-8.441294976","Santa Clara","RIO MIRA"
"68","40.864367094","-6.889754507","Santa Maria de Aguiar","RIBEIRA DE AGUIAR"
"103","39.311068073","-8.575248332","Santarém","RIO TEJO"
"104","42.122795899","-8.269304272","Sela","RIO MINHO"
"95","41.961265612","-6.772207816","Serra Serrada","RIBEIRA DAS ANDORINHAS"
"105","41.269668917","-7.788742687","Sordo","RIO SORDO"
"106","40.802835496","-7.018976363","Srª Monforte","RIO CÔA"
"8","40.089696285","-7.858163796","Sta. Luzia","RIBEIRA DE UNHAIS OU PAMPILHOSA"
"81","39.968788305","-7.481001209","Sta. Águeda (Marateca)","RIO OCREZA"
"107","41.397561252","-8.178688498","Sumidouro","RIO BUGIO"
"108","37.669222953","-7.507112323","Tapada Grande","RIBEIRA DA TAPADA GRANDE"
"109","37.672526455","-7.494775025","Tapada Pequena","RIBEIRA DA TAPADA GRANDE"
"110","40.877550901","-7.341261144","Teja","RIBEIRA DE TEJA"
"111","41.28599414","-7.751818869","Terragido","RIO CORGO"
"112","38.502404675","-7.859556184","Torres","RIBEIRA DA AZAMBUJA"
"82","41.097129994","-8.261357767","Torrão","RIO TÂMEGA"
"61","39.873413948","-7.076150036","Touliça","RIBEIRA DA TOULICA"
"113","38.499682917","-8.035586552","Tourega","RIBEIRA DE VALVERDE OU DE S. MATIAS"
"88","41.812232404","-8.35376078","Touvedo","RIO LIMA"
"237","38.295829971","-8.692341239","Vale Coelheiros","RIBEIRA DO ARROIO DA PERNADA DO MARCO (ESTEIRO NOVO)"
"114","41.266891481","-7.015830129","Vale Côvo (Salgueiral)","RIBEIRA DAS RELVAS"
"117","37.756708717","-7.551835099","Vale Formoso","BARRANCO DO VALE FORMOSO"
"118","38.909946779","-8.480467754","Vale Poços","RIBEIRA DO VALE DE POCOS"
"115","38.585240649","-8.613863962","Vale das Bicas","RIBEIRA DA LANDEIRA OU ACUDE DAS BICAS OU RIBEIRA DO VALE MACANEDO"
"230","38.362876163","-8.288088723","Vale de Arca","RIBEIRA DE ALGALÉ"
"13","38.248107712","-8.295503923","Vale do Gaio","RIBEIRA DO XARRAMA"
"28","40.399609228","-7.588544554","Vale do Rossim","RIO ALVA OU RIBEIRA DA FERVENÇA"
"57","41.160299006","-7.37506638","Valeira","RIO DOURO"
"119","41.569384921","-7.259060645","Valpaços","RIO RABAÇAL"
"58","41.120420652","-7.77560316","Varosa","RIO VAROSA"
"121","41.953825808","-6.804194102","Veiguinhas","RIO SABOR"
"17","41.681225973","-7.984773617","Venda Nova (Rabagão)","RIO RABAGÃO"
"238","38.517531588","-8.556357297","Venda Nova (Sado)","RIBEIRA DO VALE DO ENXOFRAL"
"122","38.69074516","-8.83591519","Venda Velha","VALA DA ASSEICEIRA"
"69","38.538099703","-7.607082669","Vigia","RIBEIRA DO VALE DO VASCO"
"124","41.344400545","-7.712289996","Vila Seca","RIO CORGO"
"41","40.987194175","-7.534833884","Vilar-Tabuaço","RIO TÁVORA"
"51","41.7634327","-8.209782724","Vilarinho das Furnas","RIO HOMEM"
"125","39.179527158","-7.965267936","Vinhas","RIBEIRA DAS VINHAS"
